"id";"timestamp";"amount";"customer_id";"product_id"
"36331";"2012-09-21 23:46:31";"1,00";"364";"37"
"36332";"2012-09-21 23:46:31";"1,00";"364";"37"
"36333";"2012-09-21 23:47:04";"1,00";"141";"37"
"36401";"2012-09-25 20:58:18";"1,60";"579";"6"
"36417";"2012-09-25 21:07:43";"1,00";"460";"24"
"36421";"2012-09-25 21:11:23";"1,00";"608";"24"
"36420";"2012-09-25 21:11:23";"1,00";"608";"24"
"36422";"2012-09-25 21:12:49";"1,60";"599";"6"
"36436";"2012-09-25 21:21:19";"1,00";"623";"24"
"36472";"2012-09-25 21:42:59";"1,60";"638";"6"
"36489";"2012-09-25 21:55:17";"1,60";"708";"6"
"36492";"2012-09-25 22:01:59";"1,60";"617";"6"
"36494";"2012-09-25 22:02:43";"1,00";"648";"24"
"36493";"2012-09-25 22:02:43";"1,00";"648";"24"
"36511";"2012-09-25 22:15:03";"1,60";"655";"6"
"36512";"2012-09-25 22:16:11";"1,00";"728";"70"
"36539";"2012-09-25 22:48:58";"1,00";"475";"37"
"36540";"2012-09-25 22:48:58";"1,00";"475";"37"
"36541";"2012-09-25 22:48:58";"1,00";"475";"37"
"36542";"2012-09-25 22:48:58";"1,00";"475";"37"
"36543";"2012-09-25 22:48:58";"1,00";"475";"37"
"36544";"2012-09-25 22:49:14";"1,00";"652";"37"
"36545";"2012-09-25 22:49:14";"1,00";"652";"37"
"36546";"2012-09-25 22:49:14";"1,00";"652";"37"
"36547";"2012-09-25 22:49:14";"1,00";"652";"37"
"36548";"2012-09-25 22:49:14";"1,00";"652";"37"
"36549";"2012-09-25 22:49:30";"1,00";"655";"37"
"36550";"2012-09-25 22:49:30";"1,00";"655";"37"
"36551";"2012-09-25 22:49:30";"1,00";"655";"37"
"36552";"2012-09-25 22:49:30";"1,00";"655";"37"
"36553";"2012-09-25 22:49:30";"1,00";"655";"37"
"36568";"2012-09-25 22:57:25";"1,60";"302";"6"
"36574";"2012-09-25 23:03:39";"1,00";"478";"24"
"36578";"2012-09-25 23:07:23";"1,00";"478";"24"
"36579";"2012-09-25 23:07:32";"1,00";"667";"24"
"36588";"2012-09-25 23:20:28";"1,00";"161";"24"
"36628";"2012-09-26 00:09:42";"1,00";"194";"37"
"36629";"2012-09-26 00:09:42";"1,00";"194";"37"
"36630";"2012-09-26 00:09:42";"1,00";"194";"37"
"36631";"2012-09-26 00:09:42";"1,00";"194";"37"
"36632";"2012-09-26 00:11:51";"1,00";"695";"24"
"36633";"2012-09-26 00:11:51";"1,00";"695";"24"
"36634";"2012-09-26 00:11:51";"1,00";"695";"24"
"36641";"2012-09-26 00:36:31";"1,00";"161";"24"
"36665";"2012-09-26 22:48:41";"1,00";"658";"70"
"36682";"2012-09-26 23:01:32";"1,00";"494";"24"
"36684";"2012-09-26 23:01:58";"1,00";"716";"24"
"36685";"2012-09-26 23:01:58";"1,00";"716";"24"
"36690";"2012-09-26 23:04:22";"1,00";"658";"70"
"36701";"2012-09-26 23:07:46";"1,00";"706";"24"
"36708";"2012-09-26 23:10:27";"1,60";"623";"6"
"36710";"2012-09-26 23:11:45";"1,60";"510";"6"
"36712";"2012-09-26 23:12:52";"1,00";"390";"24"
"36720";"2012-09-26 23:16:25";"1,00";"693";"24"
"36726";"2012-09-26 23:18:56";"1,60";"579";"6"
"36727";"2012-09-26 23:19:00";"1,60";"404";"6"
"36728";"2012-09-26 23:19:04";"1,60";"404";"6"
"36742";"2012-09-26 23:28:08";"1,00";"706";"24"
"36751";"2012-09-26 23:33:19";"1,60";"653";"6"
"36750";"2012-09-26 23:33:19";"1,00";"653";"24"
"36752";"2012-09-26 23:34:15";"1,00";"495";"24"
"36753";"2012-09-26 23:34:15";"1,00";"495";"24"
"36764";"2012-09-26 23:41:24";"1,60";"510";"6"
"36766";"2012-09-26 23:42:14";"1,60";"610";"6"
"36775";"2012-09-26 23:44:45";"1,00";"474";"24"
"36784";"2012-09-26 23:50:15";"1,00";"474";"70"
"36785";"2012-09-26 23:51:43";"1,00";"494";"70"
"36789";"2012-09-26 23:53:02";"1,00";"617";"24"
"36792";"2012-09-26 23:54:50";"1,00";"729";"24"
"36793";"2012-09-26 23:54:50";"1,00";"729";"24"
"36794";"2012-09-26 23:54:50";"1,00";"729";"24"
"36798";"2012-09-26 23:57:11";"1,00";"706";"24"
"36803";"2012-09-27 00:00:19";"1,50";"649";"8"
"36804";"2012-09-27 00:00:30";"1,00";"623";"24"
"36813";"2012-09-27 00:07:38";"1,00";"474";"24"
"36815";"2012-09-27 00:08:50";"1,00";"727";"24"
"36817";"2012-09-27 00:10:28";"1,00";"653";"70"
"36820";"2012-09-27 00:12:04";"1,00";"688";"24"
"36830";"2012-09-27 00:17:00";"1,00";"623";"24"
